UWAS-C0036; Game Design and Production
DOM-E5089; Games Now!
CS-A1110; Programming 1
CS-C3170; Web Software Development
CS-E4800; Artificial Intelligence
CS-E3210; Machine Learning: Basic Principles
CS-C3160; Data Science
MS-C1343; Linear Algebra
MS-A0309; Differential and integral calculus 3
MS-C2111; Stochastic Processes
TU-C1030; Managerial accounting and finance for decision-makers
TU-C9260; Studio Course of Industrial Engineering and Management
TU-C9270; Introduction to Networks
TU-A1140; Leading and Understanding Oneself
TU-A1150; Philosophy and Systems Thinking
MUO-C3006; Basics of Service Design
ELEC-A4010; Electrical engineering workshop
TU-C1020; Creating Value
AAN-C2006; Product analysis
AAN-C2011; ADD basics
